Row Labels,Sum of Cylinders,Sum of Horsepower
Europe,299,5636
Audi 100 LS,4,90
Audi 100LS,8,186
Audi 4000,4,78
Audi 5000,5,103
Audi 5000s (diesel),5,67
Audi Fox,4,83
BMW 2002,4,113
BMW 320i,4,110
Fiat 124 Sport Coupe,4,90
Fiat 124 TC,4,75
Fiat 124B,4,76
Fiat 128,8,124
Fiat 131,4,86
Fiat Strada Custom,4,69
Fiat x1.9,4,67
Mercedes Benz 300d,5,77
Mercedes-Benz 240d,4,67
Mercedes-Benz 280s,6,120
Opel 1900,8,171
Opel Manta,8,153
Peugeot 304,4,70
Peugeot 504,16,334
Peugeot 504 (sw),4,87
Peugeot 505s Turbo Diesel,4,80
Peugeot 604sl,6,133
Renault 12 (sw),4,69
Renault 12tl,4,83
Renault 18i,4,0
Renault 5 GTL,4,58
Renault Lecar Deluxe,4,0
Saab 900s,4,110
Saab 99e,4,95
Saab 99gle,4,115
Saab 99le,8,225
Triumph TR7 Coupe,4,88
Volkswagen 1131 Deluxe Sedan,4,46
Volkswagen 411 (sw),4,76
Volkswagen Dasher,12,216
Volkswagen Dasher (diesel),4,48
Volkswagen Jetta,4,74
Volkswagen Model 111,4,60
Volkswagen Pickup,4,52
Volkswagen Rabbit,20,349
Volkswagen Rabbit C (Diesel),4,48
Volkswagen Rabbit Custom,8,149
Volkswagen Rabbit Custom Diesel,4,48
Volkswagen Rabbit l,4,74
Volkswagen Scirocco,4,71
Volkswagen Super Beetle,4,46
Volkswagen Super Beetle 117,4,48
Volkswagen Type 3,4,54
Volvo 144ea,4,112
Volvo 145e (sw),4,112
Volvo 244DL,4,98
Volvo 245,4,102
Volvo 264gl,6,125
Volvo Diesel,6,76
Japan,324,6307
US,1596,29975
(blank),,
(blank),,
Grand Total,2219,41918
